name,true_score,game,review_link,useless1,Site_address,useless12,useless13,useless14,,
Gaming Nexus,74,,http://worthplaying.com/article/2014/3/5/reviews/91558/,,,,,,,
Worth Playing,70,,http://www.psx-sense.nl/155433/review-doki-doki-universe/,,,,,,,
Playstation Official Magazine Australia,70,,http://www.gamer.nl/review/444475/doki-doki-universe,,,,,,,
PSX-Sense.nl,70,,http://www.officialplaystationmagazine.co.uk/review/doki-doki-universe-ps4-review-cuddly-love-manifesto-in-robot-adventure-form/,,,,,,,
Gamer.nl,70,,http://gamestyle.com/review/doki-doki-universe-review/,,,,,,,
Playstation Official Magazine UK,70,,http://metro.co.uk/2013/12/17/doki-doki-universe-review-the-human-factor-4234243/,,,,,,,
Gamestyle,70,,http://www.gamesradar.com/doki-doki-universe-review/,,,,,,,
Metro GameCentral,70,,http://www.ign.com/articles/2013/12/12/doki-doki-universe-review,,,,,,,
GamesRadar+,70,,http://www.gamespot.com/reviews/doki-doki-universe-review/1900-6415593/,,,,,,,
IGN,70,,http://www.destructoid.com/review-doki-doki-universe-267156.phtml,,,,,,,
GameSpot,70,,http://www.insidegamer.nl/recensies/108844/doki-doki-universe-naar-de-psyche-en-daar-voorbij,,,,,,,
Destructoid,70,,http://www.laps3.com/analisis/403107-analisis_doki_doki_universe_ps4.html,,,,,,,
InsideGamer.nl,68,,http://www.pushsquare.com/reviews/ps4/doki_doki_universe,,,,,,,
LaPS4,68,,http://www.eurogamer.pt/articles/2013-12-12-doki-doki-universe-analise,,,,,,,
Push Square,60,,http://www.edge-online.com/review/doki-doki-universe-review/,,,,,,,
Eurogamer Portugal,60,,http://www.psu.com/a021964/Doki-Doki-Universe-Review,,,,,,,
Edge Magazine,60,,http://www.playstationlifestyle.net/2013/12/10/doki-doki-universe-review-ps4/,,,,,,,
Playstation Universe,60,,http://www.slantmagazine.com/games/review/doki-doki-universe,,,,,,,
PlayStation LifeStyle,55,,,,,,,,,
Slant Magazine,50,,,,,,,,,
Digitally Downloaded,90,Don Bradman Cricket 14,http://www.digitallydownloaded.net/2015/02/review-don-bradman-cricket-sony.html,http:,www.digitallydownloaded.net,2015,2,review-don-bradman-cricket-sony.html,,
NZGamer,70,,http://nzgamer.com/reviews/2231/don-bradman-cricket.html,,,,,,,
Playstation Official Magazine Australia,90,Don't Starve: Console Edition,https://www.gamereactor.dk/anmeldelser/196804/Don%27t+Starve/,https:,www.gamereactor.dk,anmeldelser,196804,Don%27t+Starve,,
Gamereactor Denmark,90,,http://www.godisageek.com/2014/01/starve-console-edition-review/,,,,,,,
God is a Geek,90,,http://www.officialplaystationmagazine.co.uk/review/dont-starve-ps3-review-official-playstation-magazine-scor/,,,,,,,
Playstation Official Magazine UK,90,,http://www.nowgamer.com/ps4/ps4-review/2231667/dont_starve_review.html,,,,,,,
NowGamer,90,,http://www.ztgd.com/reviews/dont-starve-ps4/,,,,,,,
ZTGD,88,,http://cheatcc.com/ps4/rev/dontstarvereview.html,,,,,,,
Cheat Code Central,86,,http://www.everyeye.it/ps4/articoli/don-t-starve-console-edition_recensione_21463,,,,,,,
Everyeye.it,85,,http://www.3djuegos.com/juegos/analisis/16662/0/dont-starve/,,,,,,,
3DJuegos,85,,http://www.psu.com/a022153/Dont-Starve-PS4-Review,,,,,,,
Playstation Universe,85,,http://www.vandal.net/analisis/ps4/dont-starve-psn/22784,,,,,,,
Vandal Online,85,,http://level7.nu/texter/read.php?id=222688,,,,,,,
Games Master UK,84,,http://gaming.thedigitalfix.com/content/id/2228/dont-starve-console-edition.html,,,,,,,
Play UK,81,,http://www.psx-sense.nl/156709/review-dont-starve/,,,,,,,
Level7.nu,80,,http://multiplayer.it/recensioni/127510-dont-starve-nella-gran-foresta-nera.html,,,,,,,
The Digital Fix,80,,http://www.hardcoregamer.com/2014/01/17/review-dont-starve-ps4/70204/,,,,,,,
PSX-Sense.nl,80,,http://www.eurogamer.net/articles/2014-01-15-dont-starve-review,,,,,,,
Multiplayer.it,80,,http://www.laps3.com/analisis/406160-analisis_dont_starve.html,,,,,,,
Hardcore Gamer,80,,http://www.lazygamer.net/general-news/dont-starve-console-edition-review/,,,,,,,
Edge Magazine,80,,http://it.ign.com/recensione/11897/la-dieta-garantita-di-don-t-starve,,,,,,,
LaPS4,77,,http://www.xgn.nl/ps4/review/53885/dont-starve/,,,,,,,
Lazygamer,77,,http://www.4players.de/4players.php/dispbericht/PlayStation4/Test/32852/80245/0/Dont_Starve.html,,,,,,,
IGN Italia,75,,http://www.spaziogames.it/recensioni_videogiochi/console_playstation_ps4/15692/don-t-starve.aspx,,,,,,,
XGN,75,,http://www.ign.com/articles/2014/01/14/dont-starve-ps4-review-2,,,,,,,
4Players.de,75,,http://www.eurogamer.pt/articles/2014-01-11-dont-starve-console-edition-analise,,,,,,,
SpazioGames,75,,http://www.gamespot.com/reviews/don-t-starve-console-edition-review/1900-6415632/,,,,,,,
IGN,75,,http://www.eurogamer.de/articles/2014-01-16-dont-starve-console-edition-test,,,,,,,
Eurogamer Portugal,70,,http://www.pushsquare.com/reviews/ps4/dont_starve,,,,,,,
GameSpot,70,,http://www.egmnow.com/articles/reviews/egm-review-dont-starve/,,,,,,,
Eurogamer Germany,70,,http://www.eurogamer.it/articles/2014-01-14-the-banner-saga-review-recensione,,,,,,,
Push Square,70,,http://www.escapistmagazine.com/articles/view/editorials/reviews/10899-Dont-Starve-Console-Edition-Review-PlayStarvation,,,,,,,
EGM,70,,http://www.ausgamers.com/games/dont-starve/review/,,,,,,,
Eurogamer Italy,70,,http://www.gameover.gr/reviews/item/26721-don-t-starve,,,,,,,
The Escapist,70,,http://metro.co.uk/2014/01/09/dont-starve-console-edition-review-free-meal-4255542/,,,,,,,
AusGamers,70,,,,,,,,,
GameOver.gr,60,,,,,,,,,
Metro GameCentral,60,,,,,,,,,
Digitally Downloaded,100,Dragon Age: Inquisition,http://www.digitallydownloaded.net/2014/11/review-dragon-age-inquisition-sony.html,http:,www.digitallydownloaded.net,2014,11,review-dragon-age-inquisition-sony.html,,
Game Revolution,100,,http://www.gamerevolution.com/review/dragon-age-3-inquisition,,,,,,,
ZTGD,100,,http://www.ztgd.com/reviews/dragon-age-inquisition-ps4-review/,,,,,,,
Joystiq,100,,http://digitalchumps.com/game-reviews/352-playstation-4/dragon-age-inquisition.html,,,,,,,
Digital Chumps,98,,http://www.impulsegamer.com/dragon-age-inquisition-ps4-review/,,,,,,,
Impulsegamer,96,,http://www.psx-sense.nl/181101/review-dragon-age-inquisition/,,,,,,,
PSX-Sense.nl,95,,http://www.psxextreme.com/ps4-reviews/48.html,,,,,,,
PSX Extreme,95,,http://canadianonlinegamers.com/review/dragon-age-inquisition-review/,,,,,,,
Canadian Online Gamers,95,,http://www.psu.com/review/25150/Dragon-Age--Inquisition-Review--quite-easily-the-best-RPG-of-the-year,,,,,,,
Playstation Universe,95,,http://www.meristation.com/playstation-4/dragon-age-inquisition/analisis-juego/1872501,,,,,,,
Meristation,95,,http://business.financialpost.com/2014/11/11/dragon-age-inquisition-review-eighty-hours-with-probably-the-best-game-of-2014/?__lsa=f779-6065,,,,,,,
